fold,block,method,auc,removed_pcs
0,0,raw,0.735,5
0,0,denoised,0.74,5
0,1,raw,0.815,5
0,1,denoised,0.8425,5
0,2,raw,0.9075,5
0,2,denoised,0.8925,5
0,3,raw,0.89,4
0,3,denoised,0.8925000000000001,4
0,4,raw,0.8675,4
0,4,denoised,0.8875000000000001,4
0,5,raw,0.8350000000000001,4
0,5,denoised,0.8899999999999999,4
0,6,raw,0.835,4
0,6,denoised,0.875,4
0,7,raw,0.8124999999999999,4
0,7,denoised,0.8799999999999999,4
0,8,raw,0.8175,5
0,8,denoised,0.8849999999999999,5
0,9,raw,0.8099999999999999,5
0,9,denoised,0.8775,5
0,10,raw,0.8275,6
0,10,denoised,0.8899999999999999,6
0,11,raw,0.8250000000000001,6
0,11,denoised,0.89,6
0,12,raw,0.84,6
0,12,denoised,0.8975000000000001,6
0,13,raw,0.8325,6
0,13,denoised,0.8925000000000001,6
0,14,raw,0.825,5
0,14,denoised,0.91,5
0,15,raw,0.805,5
0,15,denoised,0.9075000000000001,5
0,16,raw,0.8400000000000001,5
0,16,denoised,0.9175,5
0,17,raw,0.8375,5
0,17,denoised,0.9249999999999999,5
0,18,raw,0.8525,5
0,18,denoised,0.905,5
0,19,raw,0.8574999999999999,5
0,19,denoised,0.9175,5
0,20,raw,0.8500000000000001,5
0,20,denoised,0.9,5
0,21,raw,0.8525,5
0,21,denoised,0.9225000000000001,5
0,22,raw,0.8825000000000001,5
0,22,denoised,0.9425,5
0,23,raw,0.8875,5
0,23,denoised,0.945,5
0,24,raw,0.89,5
0,24,denoised,0.9675,5
0,25,raw,0.9,5
0,25,denoised,0.9775,5
0,26,raw,0.895,6
0,26,denoised,0.995,6
0,27,raw,0.895,6
0,27,denoised,0.99,6
0,28,raw,0.9075,6
0,28,denoised,0.995,6
0,29,raw,0.9125,6
0,29,denoised,0.9875,6
0,30,raw,0.9199999999999999,6
0,30,denoised,0.9825,6
0,31,raw,0.885,5
0,31,denoised,0.9724999999999999,5
1,0,raw,0.8475,5
1,0,denoised,0.805,5
1,1,raw,0.88,5
1,1,denoised,0.8625,5
1,2,raw,0.9000000000000001,5
1,2,denoised,0.8875,5
1,3,raw,0.86,4
1,3,denoised,0.87,4
1,4,raw,0.8825000000000001,4
1,4,denoised,0.8425000000000001,4
1,5,raw,0.83,3
1,5,denoised,0.8850000000000001,3
1,6,raw,0.8250000000000001,3
1,6,denoised,0.8825000000000001,3
1,7,raw,0.825,4
1,7,denoised,0.8674999999999999,4
1,8,raw,0.8524999999999999,5
1,8,denoised,0.8775000000000001,5
1,9,raw,0.85,5
1,9,denoised,0.8825000000000001,5
1,10,raw,0.87,5
1,10,denoised,0.8825000000000001,5
1,11,raw,0.8574999999999999,5
1,11,denoised,0.8925000000000001,5
1,12,raw,0.8474999999999999,5
1,12,denoised,0.9400000000000001,5
1,13,raw,0.8300000000000001,5
1,13,denoised,0.9,5
1,14,raw,0.81,5
1,14,denoised,0.9025,5
1,15,raw,0.785,4
1,15,denoised,0.92,4
1,16,raw,0.8025,5
1,16,denoised,0.915,5
1,17,raw,0.8125,4
1,17,denoised,0.9175,4
1,18,raw,0.8125,4
1,18,denoised,0.93,4
1,19,raw,0.82,4
1,19,denoised,0.9525,4
1,20,raw,0.82,4
1,20,denoised,0.965,4
1,21,raw,0.8325,4
1,21,denoised,0.9725,4
1,22,raw,0.8575,4
1,22,denoised,0.9924999999999999,4
1,23,raw,0.87,4
1,23,denoised,0.9924999999999999,4
1,24,raw,0.8800000000000001,4
1,24,denoised,0.9924999999999999,4
1,25,raw,0.885,5
1,25,denoised,0.9925,5
1,26,raw,0.8624999999999999,5
1,26,denoised,0.9675,5
1,27,raw,0.8775,5
1,27,denoised,0.9974999999999999,5
1,28,raw,0.9,5
1,28,denoised,1.0,5
1,29,raw,0.92,5
1,29,denoised,1.0,5
1,30,raw,0.9299999999999999,6
1,30,denoised,1.0,6
1,31,raw,0.9025000000000001,4
1,31,denoised,0.9974999999999999,4
2,0,raw,0.8025,5
2,0,denoised,0.7574999999999998,5
2,1,raw,0.8525,4
2,1,denoised,0.81,4
2,2,raw,0.87,5
2,2,denoised,0.87,5
2,3,raw,0.8500000000000001,4
2,3,denoised,0.86,4
2,4,raw,0.8374999999999999,4
2,4,denoised,0.84,4
2,5,raw,0.7749999999999999,4
2,5,denoised,0.8400000000000001,4
2,6,raw,0.74,4
2,6,denoised,0.8474999999999999,4
2,7,raw,0.7025,4
2,7,denoised,0.8674999999999999,4
2,8,raw,0.745,5
2,8,denoised,0.8775,5
2,9,raw,0.71,5
2,9,denoised,0.8825,5
2,10,raw,0.725,6
2,10,denoised,0.885,6
2,11,raw,0.7050000000000001,5
2,11,denoised,0.8925000000000001,5
2,12,raw,0.66,5
2,12,denoised,0.8675,5
2,13,raw,0.6174999999999999,5
2,13,denoised,0.875,5
2,14,raw,0.585,5
2,14,denoised,0.8350000000000001,5
2,15,raw,0.5525,5
2,15,denoised,0.8049999999999999,5
2,16,raw,0.5525,5
2,16,denoised,0.8200000000000001,5
2,17,raw,0.5449999999999999,5
2,17,denoised,0.8049999999999999,5
2,18,raw,0.57,5
2,18,denoised,0.815,5
2,19,raw,0.5525,5
2,19,denoised,0.835,5
2,20,raw,0.5449999999999999,5
2,20,denoised,0.84,5
2,21,raw,0.565,4
2,21,denoised,0.845,4
2,22,raw,0.5675,5
2,22,denoised,0.8625,5
2,23,raw,0.6025,5
2,23,denoised,0.87,5
2,24,raw,0.6125,5
2,24,denoised,0.8825000000000001,5
2,25,raw,0.6225,5
2,25,denoised,0.89,5
2,26,raw,0.6224999999999999,6
2,26,denoised,0.89,6
2,27,raw,0.6275,6
2,27,denoised,0.895,6
2,28,raw,0.6725,6
2,28,denoised,0.915,6
2,29,raw,0.6975,6
2,29,denoised,0.9299999999999999,6
2,30,raw,0.7224999999999999,6
2,30,denoised,0.9325,6
2,31,raw,0.7375,5
2,31,denoised,0.9299999999999999,5
3,0,raw,0.6949999999999998,5
3,0,denoised,0.725,5
3,1,raw,0.7925000000000001,4
3,1,denoised,0.7849999999999999,4
3,2,raw,0.885,5
3,2,denoised,0.855,5
3,3,raw,0.8674999999999999,4
3,3,denoised,0.84,4
3,4,raw,0.8799999999999999,4
3,4,denoised,0.8475000000000001,4
3,5,raw,0.865,4
3,5,denoised,0.8475,4
3,6,raw,0.8500000000000001,4
3,6,denoised,0.8525,4
3,7,raw,0.8350000000000001,4
3,7,denoised,0.845,4
3,8,raw,0.8375,5
3,8,denoised,0.8849999999999999,5
3,9,raw,0.8075000000000001,5
3,9,denoised,0.8875,5
3,10,raw,0.81,6
3,10,denoised,0.8925000000000001,6
3,11,raw,0.7925,5
3,11,denoised,0.9025,5
3,12,raw,0.7974999999999999,5
3,12,denoised,0.91,5
3,13,raw,0.7875,5
3,13,denoised,0.885,5
3,14,raw,0.7875000000000001,5
3,14,denoised,0.8975,5
3,15,raw,0.7699999999999999,5
3,15,denoised,0.9075,5
3,16,raw,0.7775,5
3,16,denoised,0.9175,5
3,17,raw,0.7749999999999999,5
3,17,denoised,0.9175,5
3,18,raw,0.785,5
3,18,denoised,0.8875,5
3,19,raw,0.775,5
3,19,denoised,0.9025,5
3,20,raw,0.79,5
3,20,denoised,0.91,5
3,21,raw,0.8049999999999999,5
3,21,denoised,0.915,5
3,22,raw,0.8049999999999999,5
3,22,denoised,0.95,5
3,23,raw,0.82,5
3,23,denoised,0.96,5
3,24,raw,0.825,5
3,24,denoised,0.95,5
3,25,raw,0.8374999999999999,5
3,25,denoised,0.9524999999999999,5
3,26,raw,0.84,6
3,26,denoised,0.98,6
3,27,raw,0.85,6
3,27,denoised,0.975,6
3,28,raw,0.87,6
3,28,denoised,0.9725,6
3,29,raw,0.885,6
3,29,denoised,0.9774999999999999,6
3,30,raw,0.8875,6
3,30,denoised,0.985,6
3,31,raw,0.8975,5
3,31,denoised,0.9775,5
4,0,raw,0.7074999999999999,5
4,0,denoised,0.7999999999999999,5
4,1,raw,0.7075,4
4,1,denoised,0.7625000000000001,4
4,2,raw,0.75,4
4,2,denoised,0.7875000000000001,4
4,3,raw,0.73,4
4,3,denoised,0.7925,4
4,4,raw,0.8125,4
4,4,denoised,0.7825,4
4,5,raw,0.79,4
4,5,denoised,0.7974999999999999,4
4,6,raw,0.7925,3
4,6,denoised,0.8175,3
4,7,raw,0.8250000000000001,4
4,7,denoised,0.8,4
4,8,raw,0.8649999999999999,5
4,8,denoised,0.85,5
4,9,raw,0.88,5
4,9,denoised,0.8675,5
4,10,raw,0.885,5
4,10,denoised,0.8875,5
4,11,raw,0.88,5
4,11,denoised,0.8724999999999999,5
4,12,raw,0.8825,5
4,12,denoised,0.8725,5
4,13,raw,0.885,5
4,13,denoised,0.8875000000000001,5
4,14,raw,0.8775000000000001,5
4,14,denoised,0.8674999999999999,5
4,15,raw,0.87,5
4,15,denoised,0.8524999999999999,5
4,16,raw,0.8674999999999999,5
4,16,denoised,0.8699999999999999,5
4,17,raw,0.8625,5
4,17,denoised,0.8475,5
4,18,raw,0.8574999999999999,5
4,18,denoised,0.8550000000000001,5
4,19,raw,0.8624999999999999,5
4,19,denoised,0.8724999999999999,5
4,20,raw,0.8625,5
4,20,denoised,0.87,5
4,21,raw,0.875,5
4,21,denoised,0.8725,5
4,22,raw,0.8925,5
4,22,denoised,0.92,5
4,23,raw,0.91,5
4,23,denoised,0.935,5
4,24,raw,0.9099999999999999,5
4,24,denoised,0.96,5
4,25,raw,0.9025000000000001,5
4,25,denoised,0.9675,5
4,26,raw,0.9299999999999999,6
4,26,denoised,0.9775,6
4,27,raw,0.9275,6
4,27,denoised,0.9724999999999999,6
4,28,raw,0.94,6
4,28,denoised,0.9775,6
4,29,raw,0.9450000000000001,6
4,29,denoised,0.9775,6
4,30,raw,0.9550000000000001,6
4,30,denoised,0.9724999999999999,6
4,31,raw,0.9475,5
4,31,denoised,0.945,5
