fold,layer,auc,removed_pcs
0,0,0.7675000000000001,5
0,1,0.8375,5
0,2,0.9075,5
0,3,0.9099999999999999,5
0,4,0.8675,5
0,5,0.875,4
0,6,0.8624999999999999,4
0,7,0.8424999999999999,5
0,8,0.8674999999999999,5
0,9,0.875,5
0,10,0.875,6
0,11,0.89,6
0,12,0.895,6
0,13,0.8875000000000001,6
0,14,0.91,5
0,15,0.9125,5
0,16,0.9225,5
0,17,0.9199999999999999,5
0,18,0.9199999999999999,5
0,19,0.94,4
0,20,0.9025,4
0,21,0.8975000000000001,4
0,22,0.9025000000000001,4
0,23,0.9125000000000001,4
0,24,0.9149999999999999,4
0,25,0.9249999999999999,4
0,26,0.925,4
0,27,0.9475,4
0,28,0.9675,4
0,29,0.9675,5
0,30,0.9724999999999999,5
0,31,0.9575,5
1,0,0.8075,5
1,1,0.845,5
1,2,0.885,5
1,3,0.8725,5
1,4,0.835,4
1,5,0.8300000000000001,4
1,6,0.87,3
1,7,0.8625,4
1,8,0.8724999999999999,5
1,9,0.8875,5
1,10,0.8925,5
1,11,0.9175,5
1,12,0.9275,5
1,13,0.9125,5
1,14,0.9149999999999999,5
1,15,0.8875,4
1,16,0.9149999999999999,4
1,17,0.9099999999999999,4
1,18,0.9175,4
1,19,0.925,4
1,20,0.92,3
1,21,0.925,3
1,22,0.9375,3
1,23,0.9275,4
1,24,0.95,3
1,25,0.9574999999999999,3
1,26,0.9375,4
1,27,0.95,4
1,28,0.9700000000000001,4
1,29,0.9700000000000001,4
1,30,0.9924999999999999,5
1,31,0.975,4
2,0,0.76,5
2,1,0.78,4
2,2,0.84,5
2,3,0.87,5
2,4,0.845,5
2,5,0.84,4
2,6,0.855,4
2,7,0.8775,4
2,8,0.89,5
2,9,0.9025000000000001,5
2,10,0.88,6
2,11,0.8725,5
2,12,0.8725,5
2,13,0.865,5
2,14,0.8375,5
2,15,0.835,5
2,16,0.835,5
2,17,0.815,5
2,18,0.8025,4
2,19,0.8175000000000001,4
2,20,0.825,4
2,21,0.8,4
2,22,0.8325,4
2,23,0.845,4
2,24,0.845,4
2,25,0.85,4
2,26,0.8474999999999999,4
2,27,0.85,4
2,28,0.8575,4
2,29,0.8775,5
2,30,0.885,5
2,31,0.8925,5
3,0,0.6925,4
3,1,0.765,4
3,2,0.8425000000000001,5
3,3,0.86,5
3,4,0.86,5
3,5,0.8775,4
3,6,0.8450000000000001,4
3,7,0.845,4
3,8,0.8624999999999999,5
3,9,0.8700000000000001,5
3,10,0.8674999999999999,6
3,11,0.8625,6
3,12,0.875,6
3,13,0.855,5
3,14,0.8575,5
3,15,0.88,5
3,16,0.8775,5
3,17,0.8925000000000001,4
3,18,0.885,4
3,19,0.895,4
3,20,0.9025000000000001,4
3,21,0.915,4
3,22,0.91,4
3,23,0.9275,4
3,24,0.9400000000000001,4
3,25,0.9375,4
3,26,0.9375,4
3,27,0.9425000000000001,4
3,28,0.9500000000000001,4
3,29,0.9575,5
3,30,0.9550000000000001,5
3,31,0.96,5
4,0,0.8,5
4,1,0.7875000000000001,4
4,2,0.8150000000000001,5
4,3,0.8025,4
4,4,0.7725,4
4,5,0.79,4
4,6,0.8,4
4,7,0.7999999999999999,4
4,8,0.855,5
4,9,0.8625,5
4,10,0.8724999999999999,5
4,11,0.8775,5
4,12,0.8875,5
4,13,0.8699999999999999,5
4,14,0.855,5
4,15,0.86,5
4,16,0.8600000000000001,5
4,17,0.8374999999999999,5
4,18,0.8475,5
4,19,0.845,4
4,20,0.84,4
4,21,0.825,4
4,22,0.8474999999999999,4
4,23,0.8599999999999999,4
4,24,0.8724999999999999,4
4,25,0.9,4
4,26,0.9025000000000001,4
4,27,0.9225,4
4,28,0.9475,4
4,29,0.96,5
4,30,0.96,5
4,31,0.9524999999999999,5
