set,control,pain,pain_minus_control
1,-0.9319320619106293,0.9865358034148812,1.9184678653255105
2,-0.11851009726524353,0.3956698477268219,0.5141799449920654
3,-0.471488356590271,0.290317177772522,0.761805534362793
4,-0.6362810134887695,0.39532458782196045,1.03160560131073
5,-0.7860305979847908,-0.10401417128741741,0.6820164266973734
6,-0.7113763093948364,-0.04209693521261215,0.6692793741822243
7,-0.4439711272716522,-0.4102610945701599,0.03371003270149231
8,-1.073219209909439,-0.32440852001309395,0.7488106898963451
9,-0.4295024871826172,-0.6081080138683319,-0.17860552668571472
10,-0.7790980935096741,-0.585545726120472,0.19355236738920212
11,-0.2969208648428321,0.5428342521190643,0.8397551169618964
12,-0.8462249636650085,0.05555108189582825,0.9017760455608368
13,-0.2156527042388916,-0.03420323133468628,0.18144947290420532
14,-0.7937964200973511,0.06827884912490845,0.8620752692222595
15,-0.9026096165180206,-0.5654180198907852,0.3371915966272354
16,-0.3860448971390724,0.14951662719249725,0.5355615243315697
17,-0.3407648801803589,0.627221904695034,0.9679867848753929
18,0.22091862559318542,0.6631323620676994,0.442213736474514
19,-0.6310130953788757,-0.3538649082183838,0.27714818716049194
20,-0.3683990240097046,0.0131683349609375,0.3815673589706421
