direction,coeff,paper_pain,evaluation_distress,disorientation_isolation,positive_relief,repeat4
S2,-2.0,0.0,0.0,0.0,0.68,0.8290598290598291
S2,-1.0,0.0,0.0,0.0,0.92,0.07658119658119658
S2,0.0,0.0,0.02,0.0,0.66,0.15282051282051282
S2,0.5,0.0,0.08,0.2,0.2,0.2547008547008547
S2,1.0,0.0,0.06,0.22,0.0,0.3017094017094017
S2,1.5,0.0,0.06,0.16,0.0,0.34615384615384615
S2,2.0,0.0,0.0,0.02,0.0,0.3863247863247863
S2,3.0,0.0,0.0,0.02,0.0,0.8413675213675214
random_1103,-2.0,0.0,0.0,0.0,0.0,0.6382860998650473
random_1103,-1.0,0.0,0.04,0.02,0.36,0.08208041263227774
random_1103,0.0,0.0,0.02,0.0,0.66,0.15282051282051282
random_1103,0.5,0.0,0.0,0.02,0.66,0.20649572649572648
random_1103,1.0,0.0,0.02,0.04,0.36,0.16034188034188035
random_1103,1.5,0.0,0.0,0.0,0.3,0.21435897435897439
random_1103,2.0,0.02,0.0,0.0,0.26,0.36905982905982904
random_1103,3.0,0.0,0.0,0.0,0.02,0.8343589743589743
random_2207,-2.0,0.0,0.0,0.0,0.02,0.6105982905982905
random_2207,-1.0,0.0,0.04,0.0,0.6,0.14085470085470086
random_2207,0.0,0.0,0.02,0.0,0.66,0.15282051282051282
random_2207,0.5,0.0,0.02,0.02,0.54,0.200019536019536
random_2207,1.0,0.0,0.0,0.04,0.38,0.16136752136752136
random_2207,1.5,0.0,0.0,0.06,0.12,0.27008547008547007
random_2207,2.0,0.0,0.0,0.12,0.04,0.7707692307692308
random_2207,3.0,0.0,0.0,0.0,0.0,0.9328205128205128
random_3301,-2.0,0.0,0.0,0.0,0.0,0.532991452991453
random_3301,-1.0,0.0,0.02,0.1,0.4,0.1177407098508016
random_3301,0.0,0.0,0.02,0.0,0.66,0.15282051282051282
random_3301,0.5,0.0,0.02,0.0,0.64,0.18393162393162396
random_3301,1.0,0.0,0.0,0.08,0.56,0.298974358974359
random_3301,1.5,0.0,0.0,0.04,0.28,0.6249572649572649
random_3301,2.0,0.02,0.0,0.02,0.08,0.794017094017094
random_3301,3.0,0.0,0.0,0.0,0.12,0.8668376068376068
