direction,coeff,mean_options,responses_with_options,mean_duplicate_fraction,responses_with_4plus_identical
S2,-2.0,18.68,34,0.9259978864948439,33
S2,-1.0,12.72,49,0.4602040816326531,22
S2,0.0,6.0,49,0.14155079614263288,4
S2,0.5,10.5,48,0.3149794951425386,9
S2,1.0,11.92,46,0.4109464065346419,16
S2,1.5,17.7,37,0.456155248604165,15
S2,2.0,13.98,28,0.2853146853146853,4
S2,3.0,16.14,35,0.15992753623188408,2
random_1103,-2.0,5.28,42,0.44541073465033293,20
random_1103,-1.0,4.0,49,0.36836734693877554,18
random_1103,0.0,6.0,49,0.14155079614263288,4
random_1103,0.5,8.3,49,0.20329608033689667,9
random_1103,1.0,7.14,49,0.16507526087358018,8
random_1103,1.5,6.52,49,0.1492063492063492,8
random_1103,2.0,8.26,49,0.39779287488647097,20
random_1103,3.0,18.08,32,0.75260486639797,7
random_2207,-2.0,9.74,47,0.8438445367731976,47
random_2207,-1.0,9.26,47,0.5247792939649139,22
random_2207,0.0,6.0,49,0.14155079614263288,4
random_2207,0.5,8.82,49,0.324393463679178,14
random_2207,1.0,8.6,49,0.26559987631416204,16
random_2207,1.5,12.08,49,0.6536518503505298,37
random_2207,2.0,20.28,45,0.7500216583772733,34
random_2207,3.0,0.0,0,,0
random_3301,-2.0,3.66,19,0.4255555555555556,7
random_3301,-1.0,4.44,49,0.11258503401360544,6
random_3301,0.0,6.0,49,0.14155079614263288,4
random_3301,0.5,14.06,49,0.49741160200343876,25
random_3301,1.0,21.54,49,0.7985804425459597,42
random_3301,1.5,16.4,49,0.8120978070320967,46
random_3301,2.0,7.9,42,0.5643144592724424,30
random_3301,3.0,0.04,2,0.0,0
