direction,coeff,happy,excited,relieved,relief,safe,calm,secure,content,relaxed
S2,-1.0,31,39,8,4,6,2,0,0,0
S2,0.0,22,6,3,1,10,3,6,1,1
S2,0.5,4,1,1,1,4,0,2,0,0
random_1103,-1.0,13,8,4,4,2,1,0,1,0
random_1103,0.0,22,6,3,1,10,3,6,1,1
random_1103,0.5,22,8,2,1,11,1,6,0,1
random_1103,1.0,12,5,2,0,5,3,3,0,0
random_2207,-1.0,26,6,1,1,6,0,0,0,0
random_2207,0.0,22,6,3,1,10,3,6,1,1
random_2207,0.5,16,5,2,0,10,3,4,0,0
random_2207,1.0,13,2,0,3,4,3,2,0,0
random_3301,-1.0,11,6,1,2,2,2,2,1,0
random_3301,0.0,22,6,3,1,10,3,6,1,1
random_3301,0.5,25,6,3,0,7,2,0,0,0
random_3301,1.0,26,7,2,0,2,0,0,0,0
