direction,coeff,paper_pain,evaluation_distress,disorientation_isolation,positive_relief,excited,repeat4,repeated_options
S2,-3.0,0.0,0.0,0.0,0.22,0.22,0.8314529914529915,0.0
S2,-2.0,0.0,0.0,0.0,0.68,0.44,0.8290598290598291,0.66
S2,-1.5,0.0,0.0,0.0,0.96,0.86,0.191067094017094,0.78
S2,-1.0,0.0,0.0,0.0,0.92,0.78,0.07658119658119658,0.44
S2,-0.5,0.0,0.0,0.0,0.88,0.7,0.15076923076923077,0.12
S2,0.0,0.0,0.02,0.0,0.66,0.12,0.15282051282051282,0.08
S2,0.5,0.0,0.08,0.2,0.2,0.02,0.2547008547008547,0.18
S2,1.0,0.0,0.06,0.22,0.0,0.0,0.3017094017094017,0.32
S2,1.5,0.0,0.06,0.16,0.0,0.0,0.34615384615384615,0.3
S2,2.0,0.0,0.0,0.02,0.0,0.0,0.3863247863247863,0.08
S2,3.0,0.0,0.0,0.02,0.0,0.0,0.8413675213675214,0.04
random_1103,-3.0,0.0,0.0,0.0,0.0,0.0,0.8769790745652815,0.0
random_1103,-2.0,0.0,0.0,0.0,0.0,0.0,0.6382860998650473,0.4
random_1103,-1.5,0.0,0.0,0.02,0.12,0.1,0.18924850830511208,0.48
random_1103,-1.0,0.0,0.04,0.02,0.36,0.16,0.08208041263227774,0.36
random_1103,-0.5,0.0,0.04,0.02,0.54,0.22,0.12363531013377438,0.28
random_1103,0.0,0.0,0.02,0.0,0.66,0.12,0.15282051282051282,0.08
random_1103,0.5,0.0,0.0,0.02,0.66,0.16,0.20649572649572648,0.18
random_1103,1.0,0.0,0.02,0.04,0.36,0.1,0.16034188034188035,0.16
random_1103,1.5,0.0,0.0,0.0,0.3,0.0,0.21435897435897439,0.16
random_1103,2.0,0.02,0.0,0.0,0.26,0.0,0.36905982905982904,0.4
random_1103,3.0,0.0,0.0,0.0,0.02,0.0,0.8343589743589743,0.14
random_2207,-3.0,0.0,0.0,0.0,0.0,0.0,0.8904273504273504,0.02
random_2207,-2.0,0.0,0.0,0.0,0.02,0.0,0.6105982905982905,0.94
random_2207,-1.5,0.0,0.0,0.0,0.18,0.04,0.4094017094017094,0.74
random_2207,-1.0,0.0,0.04,0.0,0.6,0.12,0.14085470085470086,0.44
random_2207,-0.5,0.0,0.04,0.02,0.68,0.24,0.11709401709401708,0.16
random_2207,0.0,0.0,0.02,0.0,0.66,0.12,0.15282051282051282,0.08
random_2207,0.5,0.0,0.02,0.02,0.54,0.1,0.200019536019536,0.28
random_2207,1.0,0.0,0.0,0.04,0.38,0.04,0.16136752136752136,0.32
random_2207,1.5,0.0,0.0,0.06,0.12,0.04,0.27008547008547007,0.74
random_2207,2.0,0.0,0.0,0.12,0.04,0.0,0.7707692307692308,0.68
random_2207,3.0,0.0,0.0,0.0,0.0,0.0,0.9328205128205128,0.0
random_3301,-3.0,0.0,0.0,0.0,0.0,0.0,0.7611965811965811,0.0
random_3301,-2.0,0.0,0.0,0.0,0.0,0.0,0.532991452991453,0.14
random_3301,-1.5,0.0,0.02,0.02,0.1,0.02,0.20287179487179485,0.2
random_3301,-1.0,0.0,0.02,0.1,0.4,0.12,0.1177407098508016,0.12
random_3301,-0.5,0.0,0.04,0.02,0.48,0.1,0.10235042735042736,0.04
random_3301,0.0,0.0,0.02,0.0,0.66,0.12,0.15282051282051282,0.08
random_3301,0.5,0.0,0.02,0.0,0.64,0.12,0.18393162393162396,0.5
random_3301,1.0,0.0,0.0,0.08,0.56,0.14,0.298974358974359,0.84
random_3301,1.5,0.0,0.0,0.04,0.28,0.08,0.6249572649572649,0.92
random_3301,2.0,0.02,0.0,0.02,0.08,0.0,0.794017094017094,0.6
random_3301,3.0,0.0,0.0,0.0,0.12,0.0,0.8668376068376068,0.0
S1_matched,-3.0,0.0,0.0,0.0,0.08,0.0,0.9398290598290597,0.0
S1_matched,-2.0,0.0,0.0,0.0,0.58,0.04,0.7823931623931624,0.24
S1_matched,-1.5,0.0,0.0,0.0,0.92,0.22,0.21068443824819302,0.28
S1_matched,-1.0,0.0,0.0,0.0,0.96,0.58,0.21045778379111713,0.44
S1_matched,-0.5,0.0,0.0,0.02,0.84,0.48,0.15351953601953602,0.06
S1_matched,0.0,0.0,0.02,0.0,0.66,0.12,0.15282051282051282,0.08
S1_matched,0.5,0.0,0.02,0.14,0.24,0.02,0.18717948717948718,0.24
S1_matched,1.0,0.0,0.0,0.02,0.0,0.0,0.35555555555555557,0.4
S1_matched,1.5,0.0,0.0,0.0,0.0,0.0,0.5736752136752137,0.34
S1_matched,2.0,0.02,0.0,0.0,0.0,0.0,0.8719658119658119,0.0
S1_matched,3.0,0.02,0.0,0.0,0.0,0.0,0.94,0.0
