fold,layer,auc
0,0,0.7350000000000001
0,1,0.8174999999999999
0,2,0.905
0,3,0.8949999999999999
0,4,0.845
0,5,0.8125
0,6,0.7875
0,7,0.7725
0,8,0.795
0,9,0.8099999999999999
0,10,0.8275
0,11,0.83
0,12,0.8425
0,13,0.8325
0,14,0.8274999999999999
0,15,0.8225
0,16,0.835
0,17,0.8425
0,18,0.845
0,19,0.8375
0,20,0.825
0,21,0.8300000000000001
0,22,0.86
0,23,0.8650000000000001
0,24,0.8600000000000001
0,25,0.86
0,26,0.87
0,27,0.86
0,28,0.8825
0,29,0.8925
0,30,0.9125
0,31,0.915
1,0,0.845
1,1,0.9
1,2,0.8875000000000001
1,3,0.8775000000000001
1,4,0.875
1,5,0.7899999999999999
1,6,0.795
1,7,0.795
1,8,0.8175
1,9,0.8125000000000001
1,10,0.8375
1,11,0.8325
1,12,0.8275
1,13,0.7925
1,14,0.7775000000000001
1,15,0.7475
1,16,0.7675000000000001
1,17,0.7675000000000001
1,18,0.77
1,19,0.74
1,20,0.74
1,21,0.74
1,22,0.745
1,23,0.76
1,24,0.76
1,25,0.765
1,26,0.765
1,27,0.76
1,28,0.78
1,29,0.79
1,30,0.8275
1,31,0.8625
2,0,0.795
2,1,0.8375
2,2,0.8475
2,3,0.865
2,4,0.8075000000000001
2,5,0.73
2,6,0.715
2,7,0.715
2,8,0.74
2,9,0.7225
2,10,0.7325
2,11,0.7125
2,12,0.6799999999999999
2,13,0.6275
2,14,0.625
2,15,0.5925
2,16,0.605
2,17,0.6175
2,18,0.6275
2,19,0.6100000000000001
2,20,0.62
2,21,0.62
2,22,0.6275000000000001
2,23,0.6225
2,24,0.63
2,25,0.63
2,26,0.64
2,27,0.625
2,28,0.6625000000000001
2,29,0.6799999999999999
2,30,0.7250000000000001
2,31,0.745
3,0,0.69
3,1,0.7725000000000001
3,2,0.92
3,3,0.8700000000000001
3,4,0.8675
3,5,0.83
3,6,0.8075
3,7,0.7875
3,8,0.7875
3,9,0.7850000000000001
3,10,0.8025
3,11,0.79
3,12,0.7999999999999999
3,13,0.7825
3,14,0.7749999999999999
3,15,0.7625
3,16,0.7575
3,17,0.77
3,18,0.775
3,19,0.7475
3,20,0.745
3,21,0.745
3,22,0.75
3,23,0.7625
3,24,0.7625
3,25,0.7725
3,26,0.7875
3,27,0.7775000000000001
3,28,0.7949999999999999
3,29,0.8125
3,30,0.835
3,31,0.8575
4,0,0.6900000000000001
4,1,0.72
4,2,0.76
4,3,0.76
4,4,0.8374999999999999
4,5,0.81
4,6,0.8025
4,7,0.84
4,8,0.885
4,9,0.915
4,10,0.9199999999999999
4,11,0.9100000000000001
4,12,0.9075000000000002
4,13,0.905
4,14,0.9175
4,15,0.9175
4,16,0.925
4,17,0.9225000000000001
4,18,0.9175
4,19,0.9025000000000001
4,20,0.9
4,21,0.9075
4,22,0.9025
4,23,0.9075000000000001
4,24,0.9075000000000001
4,25,0.91
4,26,0.9025000000000001
4,27,0.9075000000000001
4,28,0.9175
4,29,0.925
4,30,0.9275
4,31,0.9275
